artikelnummer|ean|hersteller|titel|verkaufspreis|bild1|menge|einheit|typ|||desc
9111744-HGN|8595602540761|Brit Care|Brit Care Cat Grain-Free - Sterilized - Sensitive - 2kg|12,44|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/8595602540761.jpg|2|kg|dry|||
9115623-HGN|7311030320116|Bozita|Bozita Cat Senior 8+ Grain free Salmon - 400 g|4,17|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7311030320116.jpg|0,4|kg|dry|||
9110333-HGN|7300330036353|Bozita|Bozita Pouch Häppchen in Gelee mit Flussbarsch 85g|0,94|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036353.jpg|0,085|kg|wet|||
9110330-HGN|7300330036322|Bozita|Bozita Pouch Häppchen in Gelee mit Rind 85g|0,94|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036322.jpg|0,085|kg|wet|||
9113630-HGN|7300330036551|Bozita|Bozita Cat PB Indoor & Sterilised Häppchen in Soße MP Fleisch 12x85g|10,23|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036551.jpg|1,02|kg|wet|||
9113158-HGN|7300330036209|Bozita|Bozita Pouch Häppchen in Soße Hühnchen für Kitten 85g|0,94|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036209.jpg|0,085|kg|wet|||
9113159-HGN|7300330036216|Bozita|Bozita Pouch Häppchen in Soße Lachs für Kitten 85g|0,94|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036216.jpg|0,085|kg|wet|||
9113160-HGN|7300330036520|Bozita|Bozita Pouch Häppchen in Soße Lachs & Fleisch Kitten MP 12x85g|10,23|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330036520.jpg|1,02|kg|wet|||
9111330-HGN|4017721830614|Animonda|Animonda vom Feinsten Cat Adult Geflügel & Seelachsfilet 85g|0,7|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721830614.jpg|0,085|kg|wet|||
9111300-HGN|4017721835916|Animonda|Animonda Carny Adult Drink mit Huhn 140ml|0,77|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835916.jpg|0,14|Liter|wet|||
9111301-HGN|4017721835923|Animonda|Animonda Carny Adult Drink mit Thunfisch 140ml|0,77|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721835923.jpg|0,14|Liter|wet|||
9111331-HGN|4017721830621|Animonda|Animonda vom Feinsten Cat Adult Kalb & Hühnchenfilet 85g|0,7|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721830621.jpg|0,085|kg|wet|||
6679688-HGN|4017721836531|Animonda|Animonda Rafine Soupe Rind,Gans, Apfel 100g|0,48|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721836531.jpg|0,1|kg|wet|||
6679681-HGN|4017721836579|Animonda|Animonda Rafine Soupe Geflügel in Cremesauce 100g|0,48|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/4017721836579.jpg|0,1|kg|wet|||
9113575-WOK|5060481899086|Applaws|Applaws Cat MP Fisch Selection 12x156g|19,79|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060481899086.png|1,872|kg|wet|||Applaws Fisch Selection in Brühe enthält nur die aufgeführten Zutaten und ist ein 100 % natürliches Ergänzungsfuttermittel für ausgewachsene Katzen. 100 % natürlich - nichts hinzugefügt, nichts versteckt 75 % Thunfischfilet - Zutaten höchster Qualität Fisch - natürliche Quelle von Omega-3 ErgänzungsfuttermittelZusammensetzung4 x Thunfischfilet: Thunfischfilet 75 %, Fischbrühe, Reis.4 x Meeresfisch: Makerle 45 %, Tuna Fillet 30 %, Fish Broth, Rice.4 x Thunfischfilet mit Garnelen: Thunfischfilet 55 %, Fischbrühe, Garnelen 20 %, ReisAnalytische Bestandteile4x Thunfischfilet: Protein 16 %, Rohfaser 0.1 %, Rohfett 1 %, Rohasche 1 %, Feuchtigkeit 80 %.4x Meeresfisch: Protein 17 %, Rohfaser 0.1 %, Rohfett 2 %, Rohasche 1 %, Feuchtigkeit 79 %.4x Thnfischfilet mit Garnelen: Protein 14 %, Rohfaser 0.1 %, Rohfett 1 %, Rohasche 1 %, Feuchtigkeit 81 %.Diese Fütterungsempfehlung dient nur als Orientierungshilfe.Gewicht der Katze0-3 kg : 0,5 Dose3 bis 5 kg : 1 Doseüber 5 kg : 1,5 DosenBitte stellen Sie Ihrer geliebten Samtpfote immer ausreichend frisches Wasser zur Verfügung.Beobachten Sie das Gewicht Ihrer Katze und passen Sie die Futtermenge gegebenenfalls an. Ihre Katze hat ein Idealgewicht, wenn ihre Taille erkennbar die Rippen zu erspüren aber nicht zu sehen sind.Beachten Sie dabei, dass trächtige Katzen einen erhöhten Nährstoffbedarf haben.Für eine ausgewogene Ernährung bitte zusammen mit einem Applaws Alleinfutter (Nass- oder Trockenfutter) füttern.
9113588-WOK|5060481899147|Applaws|Applaws Cat MP Fisch Selection in Gelee 12x70g|9,89|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060481899147.png|0,84|kg|wet|||Applaws ist ein zu 100 % natürliches Ergänzungstierfutter für ausgewachsene Katzen und enthält nur die aufgeführten Zutaten. hergestellt aus natürlichen Zutaten - nichts hinzugefügt, nichts versteckt 60 % Thunfischfilet - Zutaten von höchster Qualität Fisch - natürliche Quelle von Omega-3 ErgänzungsfuttermittelZusammensetzung4 x Thunfischfilet: 60 %, Reismehl*, pflanzliches Geliermittel. 4 x Thunfischfilet mit Lachs: Thunfischfilet 55 %, Lachs 5 %, Reismehl, pflanzliches Geliermittel 4 x Thunfischfilet mit Meeresalgen: Thunfischfilet 56 %, Meeresalgen,4 %, Reismehl, pflanzliches Geliermittel.Analytische Bestandteile4 x Thunfischfilet : Protein 13 %, Rohfaser 0.1 %, Rohfett 1 %, Rohasche 1 %, Feuchtigkeit 84 %.4 x Thunfischfilet mit Lachs: Protein 12 %, Rohfaser 0.1 %, Rohfett 2 %, Rohasche 1 %, Feuchtigkeit 84 %.4 x Thunfischfilet mit Meeresalgen: Protein 12 %, Rohfaser 0.1 %, Rohfett 1 %, Rohasche 1 %, Feuchtigkeit 85 %.Diese Fütterungsempfehlung dient nur als Orientierungshilfe.Gewicht der Katze0-3 kg : 1 Dose3 bis 5 kg : 2 Dosenüber 5 kg : 3 DosenBitte stellen Sie Ihrer geliebten Samtpfote immer ausreichend frisches Wasser zur Verfügung.Beobachten Sie das Gewicht Ihrer Katze und passen Sie die Futtermenge gegebenenfalls an. Ihre Katze hat ein Idealgewicht, wenn ihre Taille erkennbar die Rippen zu erspüren aber nicht zu sehen sind.Beachten Sie dabei, dass trächtige Katzen einen erhöhten Nährstoffbedarf haben.Für eine ausgewogene Ernährung bitte zusammen mit einem Applaws Alleinfutter (Nass- oder Trockenfutter) füttern.
9105084-HGN|5060122494205|Applaws|Applaws Cat Dose Hühnchenbrust & Ente 156g|1,59|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060122494205.jpg|0,156|kg|wet|||
9105083-HGN|5060122490177|Applaws|Applaws Cat Dose Hühnchenbrust 156g|1,73|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060122490177.jpg|0,156|kg|wet|||
9106233-HGN|5060481890809|Applaws|Applaws Cat Dose Makrele & Sardine 156g|1,73|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060481890809.jpg|0,156|kg|wet|||
9104960-HGN|5060122490214|Applaws|Applaws Cat Dose Hühnchenbrust & Käse 156g|1,73|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/5060122490214.jpg|0,156|kg|wet|||
6625305-HGN|7300330049209|Bozita Cat|Bozita Cat Tetra Recard Häppchen in Gelee Lachs&Muschelfleisch 370g|1|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330049209.jpg|0,37|kg|wet|||
62010-HGN|7300330005717|Bozita Cat|Bozita Cat Nassfutter Rind 410g|1,1|https://www.zoodrop.de/out/pictures/generated/product/1/665_665_100/7300330005717.jpg|0,41|kg|wet|||
